Date,Open,High,Low,Close,Adj Close,Volume
2017-12-04,266.309998,266.799988,264.079987,264.140015,259.404053,94040600
2017-12-05,263.190002,265.149994,263.040009,263.190002,258.471069,77994500
2017-12-06,263.299988,263.730011,262.709991,263.239990,258.520172,75898600
2017-12-07,264.070007,264.429993,262.940002,264.070007,259.335266,77218600
2017-12-08,265.160004,265.519989,264.029999,265.510010,260.749451,76563900
2017-12-11,266.309998,266.380005,265.480011,266.309998,261.535126,83077500
2017-12-12,267.209991,267.320007,266.350006,266.779999,261.996704,85195800
2017-12-13,267.059998,267.559998,266.649994,266.750000,261.967224,102905400
2017-12-14,267.089996,267.220001,265.600006,265.660004,260.896759,100666700
2017-12-15,265.450012,267.040009,265.390015,266.510010,263.069366,144610300
2017-12-18,268.100006,268.600006,267.980011,268.200012,264.737549,83653600
2017-12-19,268.480011,268.529999,267.089996,267.170013,263.720856,82382900
2017-12-20,268.269989,268.329987,266.690002,267.029999,263.582672,76751500
2017-12-21,267.739990,268.390015,267.299988,267.579987,264.125549,67032300
2017-12-22,267.600006,267.640015,266.899994,267.510010,264.056458,78720900
2017-12-26,267.049988,267.440002,266.890015,267.190002,263.740570,45244400
2017-12-27,267.380005,267.730011,267.010010,267.320007,263.868896,57751000
2017-12-28,267.890015,267.920013,267.450012,267.869995,264.411835,45116100
2017-12-29,268.529999,268.549988,266.640015,266.859985,263.414856,96007400
2018-01-02,267.839996,268.809998,267.399994,268.769989,265.300171,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,266.978241,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,268.103546,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,269.890198,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,270.383728,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,270.995728,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,270.581116,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,272.555298,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,274.332092,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,273.394348,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,276.000244,109354500
2018-01-18,279.480011,279.959991,278.579987,279.140015,275.536346,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,276.789948,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,279.040497,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,279.632751,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,279.524170,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,279.642609,84587300
2018-01-26,284.250000,286.630005,283.959991,286.579987,282.880249,107743100
2018-01-29,285.929993,286.429993,284.500000,284.679993,281.004761,90118300
2018-01-30,282.600006,284.739990,281.220001,281.760010,278.122528,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,278.260712,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,277.944794,90102500
2018-02-02,280.079987,280.230011,275.410004,275.450012,271.893951,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,260.522675,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,265.655548,355026800
2018-02-07,268.500000,272.359985,267.579987,267.670013,264.214417,167376100
2018-02-08,268.010010,268.170013,257.589996,257.630005,254.304031,246449500
2018-02-09,260.799988,263.609985,252.919998,261.500000,258.124054,283565300
2018-02-12,263.829987,267.010010,261.660004,265.339996,261.914459,143736000
2018-02-13,263.970001,266.619995,263.309998,266.000000,262.565948,81223600
2018-02-14,264.309998,270.000000,264.299988,269.589996,266.109619,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,269.505219,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,269.584137,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,267.896271,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,266.563660,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,266.909149,110511300
2018-02-23,271.790009,274.709991,271.250000,274.709991,271.163513,92766400
2018-02-26,275.929993,278.010010,275.260010,277.899994,274.312347,86491400
2018-02-27,278.109985,278.920013,274.359985,274.429993,270.887115,99099200
2018-02-28,275.679993,276.190002,271.290009,271.649994,268.143005,121907800
2018-03-01,271.410004,273.170013,266.000000,267.700012,264.244049,176855100
2018-03-02,265.799988,269.720001,264.820007,269.079987,265.606201,139083200
2018-03-05,267.730011,272.890015,267.609985,272.190002,268.676025,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,269.357147,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,269.258453,87063500
2018-03-08,273.549988,274.239990,272.420013,274.100006,270.561401,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,275.269775,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,274.924316,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,273.147583,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,271.745880,105895100
2018-03-15,275.880005,276.609985,274.429993,275.000000,271.449738,83433000
2018-03-16,274.500000,275.390015,274.140015,274.200012,271.744141,100343700
2018-03-19,273.350006,274.399994,268.619995,270.489990,268.067322,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,268.523254,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,268.007874,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,261.308441,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,255.738739,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,262.735504,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,258.265930,129941400
2018-03-28,260.750000,262.640015,258.579987,259.829987,257.502777,146452300
2018-03-29,261.119995,265.260010,259.839996,263.149994,260.793060,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,255.163956,186286300
2018-04-03,258.869995,261.309998,256.839996,260.769989,258.434387,119956900
2018-04-04,256.750000,264.359985,256.600006,263.559998,261.199402,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,263.260773,82652600
2018-04-06,263.420013,265.109985,258.000000,259.720001,257.393829,179521200
2018-04-09,261.369995,264.839996,259.940002,261.000000,258.662323,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,262.775146,103529000
2018-04-11,263.470001,265.640015,263.390015,263.760010,261.397644,91140200
2018-04-12,265.260010,267.000000,265.059998,265.929993,263.548187,68890500
2018-04-13,267.410004,267.540009,264.010010,265.149994,262.775146,85079200
2018-04-16,267.000000,268.200012,266.070007,267.329987,264.935638,63405300
2018-04-17,269.329987,270.869995,268.750000,270.190002,267.770020,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,267.968262,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,266.481689,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,264.222076,99953100
2018-04-23,267.260010,267.890015,265.350006,266.570007,264.182465,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,260.624603,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,261.268799,103840900
2018-04-26,264.790009,267.250000,264.290009,266.309998,263.924774,67731900
2018-04-27,267.000000,267.339996,265.500000,266.559998,264.172546,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,262.140900,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,262.606689,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,260.842651,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,260.267822,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,263.637360,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,264.529327,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,264.529327,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,267.086212,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,269.583618,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,270.406189,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,270.535034,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,268.671906,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,269.801666,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,269.573730,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,268.899811,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,270.921539,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,270.168335,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,270.911621,61021700
2018-05-24,272.910004,273.220001,270.779999,272.799988,270.356659,74295200
2018-05-25,272.149994,272.859985,271.579987,272.149994,269.712463,56374800
2018-05-29,270.309998,271.170013,267.760010,269.019989,266.610474,114128800
2018-05-30,270.500000,273.109985,270.420013,272.609985,270.168335,69678400
2018-05-31,272.149994,272.489990,270.260010,270.940002,268.513306,93519900
2018-06-01,272.410004,273.940002,272.329987,273.600006,271.149475,68905300
2018-06-04,274.529999,275.190002,274.260010,274.899994,272.437836,44165500
2018-06-05,275.049988,275.529999,274.179993,275.100006,272.636078,51135000
2018-06-06,275.790009,277.519989,275.089996,277.399994,274.915466,62732200
2018-06-07,277.950012,278.279999,276.339996,277.369995,274.885712,72969400
2018-06-08,276.850006,278.250000,276.660004,278.190002,275.698364,72139700
2018-06-11,278.440002,279.369995,278.309998,278.559998,276.065063,58892500
2018-06-12,279.029999,279.329987,278.190002,278.920013,276.421844,72329000
2018-06-13,279.190002,279.480011,277.799988,278.029999,275.539795,79070600
2018-06-14,279.010010,279.329987,278.059998,278.730011,276.233551,77097600
2018-06-15,276.600006,277.510010,275.350006,277.130005,275.881134,120041600
2018-06-18,275.489990,276.700012,274.950012,276.559998,275.313690,52917600
2018-06-19,274.000000,275.750000,273.529999,275.500000,274.258484,97531500
2018-06-20,276.269989,276.720001,275.589996,275.970001,274.726379,53785500
2018-06-21,275.959991,275.980011,273.679993,274.239990,273.004150,71061400
2018-06-22,275.660004,275.790009,274.489990,274.739990,273.501892,54898500
2018-06-25,273.440002,273.619995,269.100006,271.000000,269.778778,137854200
2018-06-26,271.640015,272.559998,270.790009,271.600006,270.376068,68547400
2018-06-27,272.260010,273.869995,269.179993,269.350006,268.136200,105110700
2018-06-28,269.290009,271.750000,268.489990,270.890015,269.669281,76650500
2018-06-29,272.119995,273.660004,271.149994,271.279999,270.057495,97592500
2018-07-02,269.510010,272.040009,269.239990,271.859985,270.634888,63554800
2018-07-03,272.869995,272.980011,270.420013,270.899994,269.679199,42187100
2018-07-05,272.170013,273.179993,270.959991,273.109985,271.879242,56925900
2018-07-06,273.140015,275.839996,272.709991,275.420013,274.178864,66493700
2018-07-09,276.549988,277.959991,276.500000,277.899994,276.647675,50550400
2018-07-10,278.410004,279.010010,278.079987,278.899994,277.643158,51966800
2018-07-11,277.149994,278.040009,276.519989,276.859985,275.612335,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,278.111053,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,278.330048,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,278.081177,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,279.206085,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,279.793427,44593500
2018-07-19,280.309998,280.739990,279.459991,280.000000,278.738220,61412100
2018-07-20,279.769989,280.480011,279.500000,279.679993,278.419647,82337700
2018-07-23,279.450012,280.429993,279.059998,280.200012,278.937317,47047600
2018-07-24,281.790009,282.559998,280.630005,281.609985,280.340942,68026900
2018-07-25,281.329987,284.369995,281.279999,284.010010,282.730133,78882900
2018-07-26,283.200012,284.109985,283.089996,283.339996,282.063141,57919500
2018-07-27,283.709991,283.820007,280.380005,281.420013,280.151825,76768700
2018-07-30,281.510010,281.690002,279.359985,279.950012,278.688446,63742500
2018-07-31,280.809998,282.019989,280.380005,281.329987,280.062195,68570500
2018-08-01,281.559998,282.130005,280.130005,280.859985,279.594330,53853300
2018-08-02,279.390015,282.579987,279.160004,282.390015,281.117462,63426400
2018-08-03,282.529999,283.660004,282.329987,283.600006,282.321991,53935400
2018-08-06,283.640015,284.989990,283.200012,284.640015,283.357300,39400900
2018-08-07,285.390015,286.010010,285.239990,285.579987,284.293060,43196600
2018-08-08,285.390015,285.910004,284.940002,285.459991,284.173584,42114600
2018-08-09,285.529999,285.970001,284.920013,285.070007,283.785370,35652400
2018-08-10,283.450012,284.059998,282.359985,283.160004,281.883972,77076000
2018-08-13,283.470001,284.160004,281.769989,282.100006,280.828735,65686900
2018-08-14,282.920013,284.170013,282.480011,283.899994,282.620636,43842000
2018-08-15,282.380005,282.540009,280.160004,281.779999,280.510193,102925400
2018-08-16,283.399994,285.040009,283.359985,284.059998,282.779907,69967900
